Kode SDKI,Kode SIKI,Nama SIKI,Definisi,Tindakan Observasi,Tindakan Terapeutik,Edukasi,Kolaborasi
D.0017,I.06194,Tekanan Intrakranial,,"1.Identifikasi penyebab peningkatan TIK (mis. lesi, gangguan metabolisme, edema serebral) 2.Monitor tanda/gejala peningkatan TIK (mis. tekanan darah meningkat, tekanan nadi melebar, bradirkardia, pola napas iregular, kesadaran menurun) 3.Monitor MAP (Mean Arterial Pressure) 4.Monitor CVP (Central Venous Pressure), jika perlu
5. Monitor PAWP, jika perlu
6. Monitor PAP, jika perlu
7. Monitor ICP (Intra Cranial Pressure), jika tersedia
8. Monitor CCP (Cerebral Perfusion Pressure)
9. Monitor gelombang ICP
10. Monitor status pernapasan
11. Monitor intake dan output cairan
12. Monitor cairan serebrospinalis (mis. warna, konsistensi)","1. Minimalkan stimulus dengan menyediakan lingkungan yang tenang
2. Berikan posisi semi Fowler
3. Hindari manuver Valsava
4. Cegah terjadinya kejang
5. Hindari penggunaan PEEP
6. Hindari penggunaan cairan IV hipotonik 7.Atur ventilator agar PaCO2 optimal 8.Pertahankan suhu tubuh normal",,"1. Kolaborasi pemberian sedasi dan anti konvulsan, jika perlu
2. Kolaborasi pemberian diuretik osmosis, jika perlu
3. Kolaborasi pemberian pelunak tinja, jika perlu"
D.0020,I.03101,Manajemen Diare,Mengidentifikasi dan mengelola diare dan dampaknya,"1. Identifikasi penyebab diare (mis. Inflamasi gastrointestinal, iritasi gastrointestinal, proses infeksi, malabsorpsi, ansietas, stress, efek obatobatan, pemberian botol susu)
2. Identifikasi riwayat pemberian makanan
3. Identifikasi gejala invaginasi (mis.tangisan keras, kepucatan pada bayi)
4. Monitor warna,volume,frekuen si,dan konsistensi tinja
5. Monitor tanda dan gejala hypovolemia (mis. takikardia, nadi teraba lemah, tekanan darah turun, turgor kulit turun, mukosa mulut kering, CRT melambat, BB menurun).
6. Monitor iritasi dan ulserasi kulit di daerah perianal
7. Monitor jumlah pengeluaran diare
8. Monitor keamanan dan penyiapan makanan","1. Berikan asupan cairan oral (mis.larutan garam gula, oralit, Pedialyte, renalyte
2. Pasang jalur intravena
3. Berikan cairan intravena (mis. ringer asetat, ringer laktat), jika perlu
4. Ambil sampel darah untuk pemeriksaan darah lengkap dan elektrolit
5. Ambil sampel feses untuk kultur,jika perlu","1. Anjurkan makanan porsi kecil dan sering secara bertahap
2. Anjurkan menghindari makanan pembentuk gas, pedas dan mengandung laktosa
3. Anjurkan melanjutkan pemberian asi","1. Kolaborasi pemberian obat antimotilitas (mis. loperamide,difenoksilat)
2. Kolaborasi pemberian obat anti spasmodic / spasmolitis (mis papaverine ekstak belladonna mebeverine)
3. Kolaborasi pemberian obat pengeras feses (mis. atapulgit, smektif, kaolin-pektin"
D.0021,I.14551,Pengontrolan Infeksi,,1. Identifikasi pasien-pasien yang mengalami penyakit infeksi menular,"1. Terapikan kewaspadaan universal misalnya cuci tangan aseptic, gunakan alat pelindung diri seperti masker, sarung tangan, pelindung wajah, pelindung mata, aspron, sepatu bot sesuai model transmisi mikroorganisme
2. Tempatkan pada ruang isolasi bertekanan positif untuk pasien yang mengalami penurunan imunitas
3. Tempatkan pada ruang isolasi bertekan negative untuk pasien dengan resiko penyebaran inveksi via droplet atau udara
4. Streriliasai dan desinfeksi alat-alat, furniture, lantai, sesuai kebutuhan
5. Gunakan hepafilter pada area khusus misalnya kamar operasi
6. Berika tanda khusus untuk pasien dengan penyakit menular Edukasi :
1. Ajarkan cara mencuci tangan dengan benar
2. Ajarkan etika batuk/bersin Manajemen Hipervolemia l.03114)",,
D.0022,I.03121,Pemantauan Cairan,,"1. Monitor frekuensi dan kekuatan nadi
2. Monitor frekuensi napas
3. Monitor tekanan darah
4. Monitor berat badan
5. Monitor waktu pengisian kapiler
6. Monitor elastisistas atau turgor kulit
7. Monitor jumlah, warna, dan berat jenis urine
8. Monitor kadar albumin dan protein total
9. Monitor hasil periksaan serum mis osmolaritas serum, hemtokrit, natrium, kalium, BUN
10. Monitor intake dan output cairan
11. Identifikasi tanda-tanda hypovolemia mis. frekuensi nadi meningkat, nadi etraba lemah, tekanan darah menurun, tekanan nadi menyempit, turgor kulit mrnurun, membrane mukosa kering, volume urine menurun, hematokrtit meningkat, haus, lemah, konsentrasi urine meningkat, BB menurun dalam waktu singkat
12. Identifikais tanda-tanda hypervolemia mis. dispnea, edema perifer, edema anasarca, JPV CPV meningkat, reflex hepatojugular positif, BB menurun dalam aktu singkat
13. Identifikasi factor resiko ketidakseimbangan cairan mis. prosedur pembedahan mayor, trauma pendarahan, luka bakar, apheresis, obstruksi intestinal, peradangan pancreas, penyakit ginjal dan kelenjar, disfungsi intestinal","1. Atur interval waktu pemantauan sesuai dengan kondisi pasien
2. Dokumentasikan hasil pemantauan Edukasi :
1. Jelaskan tujuan dan prosedur pemantauan
2. Informasikan hasil pemantauan jika perlu",,
D.0023,I.003116,Definisi :,,"1. Periksa tanda dan gejala hipovolemia (mis. Frekuensi nadi meningkat, nadi teraba lemah, tekanan darah menurun, tekanan nadi menyempit, turgor kulit menurun, membran mukosa kering, volume urin menurun, hematokrit meningkatkan, haus, lemah)
2. Monitor intake dan ouput cairan Terapeutik :
3. Hitung kebutuhan cairan
4. Berikan posisi modified trendelenbung Edukasi :
5. Anjurkan memperbanyak asupan cairan oral
6. Anjurkan menghindari perubahan posisi mendadak Kolaborasi :
7. Kolaborasi pemberian cairan IV isotonis (mis. NaCl, RL)
8. Kolaborasi pemberian produk darah haluaran,turgor kulit, CRT) Terapeutik :
2. Lakukan penekanan langsung pada pendarahan eksternal
3. Berikan posisi syok
4. Ambil sampel darah untuk pemeriksaan darah lengkap dan elektrolit Kolaborasi :
5. Kolaborasi pemberian transfusi darah, jika perlu Manejemen pendarahan pervaginam pascapersalinan",,,
D.0023,I.02045,Definisi :,"Mengidentifikasi dan mengelola kehilangan jumlah darah pervaginam lebih dari 500 cc, dapat terjadi pada proses persalinan (24 jam) dan lebih dari (24 jam) setelah persalinan.","1. identifikasi penyebab kehilangan darah (mis. Atonima uteri atau robekan jalan lahir)
2. identifikasi keluhan ibu (mis. Keluar banyak darah, pusing, pandangan kabur)
3. monitor resiko terjadinya perdarahan
4. monitor jumlah kehilangan darah Terapeutik :
5. lakukan penekana pada area perdarahan, jika perlu Kolaborasi :
6. Kolaborasi pemberian transfusi darah, jika perlu Manejemen pendarahan antepartum dipertahankan",,,
D.0023,I.02042,Definisi :,Mengidentifikasi dan mengelola pendarahan pada kehamilan yang dapat dipertahankan,"1. Identifikasi riwayat kehilangan darah (mis. Jumlah, nyeri, dan adanya bekuan darah)
2. Identifikasi penyebab perdarahan
3. Identifikasi riwayat yang berhubungan dengan perdarahan kehamilan awal
4. Periksa vagina untuk menilai jumlah, konsisten, dan bau perdarahan
5. Periksa kontraksi uterus atau peningkatan kekuatan tonus otot uterus
6. Monitor tanda vital ibu berdasarkan kehilangan darah
7. Monitor intake dan output cairan Terapeutik :
8. Posisikan ekstremitas bawah lebih tinggi Edukasi :
9. Anjurkan tirah baring hingga perdarahan berhenti
10. Anjurkan menurunkan resiko perdarahan (mis.pembatasan merokok, tidak berhubungan seksual, tirah baring, manajemen konstipasi)
11. Ajarkan cara mengendali pendarahan lama dan baru Kolaborasi :
12. Kolaborasi pemberian cairan, jika perlu
13. Kolaborasi pemberian transfusi darah, jika perlu",,,
D.0023,I.03121,Pemantauan Cairan,Mengumpulkan dan menganalisis data terkait pengaturan keseimbangan cairan,"1. Monitor tekanan darah
2. Identifikasi tanda tanda hipovolemia (mis. Frekuensi nadi meningkat, nadi teraba lemah, tekanan darah menurun, tekanan nadi menyempit, turgor kulit menurun, membran mukosa kering, volume urine menurun, hematokrit meningkat, haus, lemah, konsentrasi urine meningkat, berat badan menurun dalam waktu singkat)
3. Identifikasi faktor resiko ketidakseimbangan cairan (mis. Prosedur pembedahan mayor, trauma/perdarahan, luka bakar, aferasis, obstruksi intestinal, peradangan pankreas, penyakit ginjal dan kelenjar, disfungsi intestinal) Terapeutik :
4. Atur interval waktu pemantauan sesuai dengan kondisi pasien Edukasi :
5. Anjurkan tirah baring hingga perdarahan berhenti
6. Anjurkan menurunkan resiko perdarahan (mis.pembatasan merokok, tidak berhubungan seksual, tirah baring, manajemen konstipasi)
7. Ajarkan cara mengendali pendarahan lama dan baru Kolaborasi :
8. Informasi hasil pemantauan,",,,
D.0023,I.03091,Fototerapi Neonatus,,,,,
D.0024,I.03091,Fototerapi Neonatus,,"1. Monitor ikteri pada sklera dan kulit bayi
2. Identifikasi kebutuhan cairan sesuai dengan usia gestasi dan berat badan
3. Monitor suhu dan tanda vital setiap 4 jam sekali 4. Monitor efek samping fototerapi mis. hipertermi, diare, rush pada kulit, penurunan BB 8-10% Terapeutik :
1. Siapkan lampu fototerapi dan incubator atau kotak bayi
2. Lepaskan pakaian bayi kecuali popok
3. Berikan penutup mata pada bayi
4. Ukur jarak antara lampu dan permukaan kulit bayi 30 cm atau tergantung spesifikais lampu fototerapi
5. Berikan tubuh bayi terpapar sinar fototrapi secara berkelanjutan
6. Ganti segra alas dan popok bayi setelah BAK/BAB
7. Gunakan linen berwarna putih agar memantulakan cahaya sebanyak mungkin Edukasi :
1. Ajarkan ibu menyusui sekitar 20-30 menit
2. Ajarkan ibu menyusui seseiring mungkin Kolaborasi :
1. Kolaborasi pemeriksaan darah vena bilirubin direk dan indirek",,,
D.0024,I.10338,Perawatan Bayi,,"1. Monitor TTV bayi (terutama suhu 36,5 – 37,5 derajat Celcius","1. Mandikan bayi denga suhu ruangan 21-24 derajat celcius
2. Mandikan bayi dalam waktu 5-10 menit dan 2 kali dalam sehari
3. Rawat tali pusat secara terbuka tali pusat tidak dibungkus apapun
4. Bersihkan pangkal tali pusat lidi kapas yang telah diberi air matang
5. Kenakan popok bayi di bawah umbilicus jika tali pusat belum terlepas
6. Lakukan pemijatan bayi
7. Ganti popok bayi jika basah
8. Kenakan pakaian bayi dari bahan katun Edukasi :
1. Anjurkan ibu menyusui sesuai kebutuhan bayi
2. Ajarkan ibu cara merawat bayi dirumah
3. Ajarkan cara pemberian makanana pendamping ASI pada bayi >6 bulan",,
D.0024,I.03098,Manajemen Cairan,,,,,
D.0025,I.03098,Manajemen Cairan,Megidentifikasi dan mengelola keseimbangan cairan dan mencegah komplikasi akibat ketidakseimbangan cairan,"1. Monitor status hidrasi (mis. frekuensi nadi, kekuatan nadi, akral, pengisian kapiler, kelembapan mukosa, turgor kulit, tekanan darah) 2. Monitor berat badan harian
3. Monitor berat badan sebelum dan sesudah dialisis
4. Monitor hasil pemeriksaan laboratorium (mis. hematokrit, Na, K, Cl, berat jenis urine, BUN)
5. Monitor status hemodinamik (mis. MAP, CVP, PAP, PCWP jika tersedia)","1. Catat intake-output dan hitung balans cairan 24 jam
2. Berikan asupan cairan, sesuai kebutuhan
3. Berikan cairan intravena, jika perlu",,"7. Kolaborasi pemberian diuretik, jika perlu"
D.0025,I.03121,Pemantauan Cairan,Mengumpulkan dan menganalisis data terkait pengaturan keseimbangan cairan,,"1. Atur interval waktu pemantauan sesuai dengan kondisi pasien
2. Dokumentasikan hasil pemantauan","1. Jelaskan tujuan dan prosedur pemantauan
2. Informasikan hasil pemantauan, jika perlu",
D.0026,I.03094,Pemantauan Cairan,Memberikan bimbingan dalam melakukan modifikasi asupan nutrisi.,"1. Identifikasi kebiasaan makan dan perilaku makan yang akan diubah
2. Identifikasi kemajuan modifikasi diet secara reguler
3. Monitor intake dan output cairan, nilai hemoglobin, tekanan darah, kenaikan berat badan dan kebiasaan membeli makanan Terapeutik
1. Bina hubungan terapeutik
2. Sepakati lama waktu pemberian konseling
3. Tetapkan tujuan jangka pendek dan jangka panjang yang realistis
4. Gunakan standar nutrisi sesuai program diet dalam mengevaluasi kecukupan asupan makanan
5. Pertimbangkan faktor-faktor yang mempengaruhi pemenuhan kebutuhan gizi (mis.usia, tahap pertumbuhan dan perkembangan, penyakit)",,"1. Informasikan perlunya modifikasi diet (mis.penurunan atau penambahan berat badan, pembatasan natrium atau cairan, pengurangan kolestrol)
2. Jelaskan program gizi dan persepsi pasien terhadap diet yang diprogramkan","1. Rujuk pada ahli gizi, jika perlu Manajemen hiperglikemia"
D.0026,I.03115,Pemantauan Cairan,,,,,
D.0027,I.03115,Pemantauan Cairan,Mengidentifikasi dan mengelola kadar glukosa darah diatas normal Tindakan: Observasi : - Identifikasi kemungkinan penyebab hiperglikemia - Monitor tanda dan gejala hiperglikemia Terapeutik: - Berikan asupan cairan oral Edukasi : - Anjurkan menghindari olahraga saat kadar glukosa darah lebih dari 250 mg/dL - Anjurkan monitor kadar glukosa darah secara mandiri - Anjurkan kepatuhan terhadap diet dan olahraga,,,,"- kolaborasi pemberian insulin, jika perlu Kolaborasi pemberian kalium, jika perlu"
D.0028,I.03093,Pemantauan Cairan,Memberikan bimbingan teknik menyusui yang tepat dalam pemberian makanan bayi. Tindakan Observasi 1. Identifikasi keadaan emosional ibu saat akan dilakukan konseling menyusui 2. Identifikasi keinginan dan tujuan menyusui 3. Identifikasi permasalahan yang ibu alami selama proses menyusui,,"1. Gunakan teknik mendengar aktif (mis. duduk sama tinggi, dengarkan permasalahan ibu)
2. Berikan pujian terhadap perilaku ibu yang benar",1. Ajarkan teknik menyusui yang tepat sesuai kebutuhan ibu Promosi ASI Eksklusif,
D.0028,I.03135,Pemantauan Cairan,"Meningkatkan kemampuan ibu dalam memberikan ASI secara eksklusif (0-6 bulan). Tindakan Observasi 1. Identifikasi kebutuhan laktasi bagi ibu pada antenatal, intranatal, dan postnatal",,"1. Fasilitasi ibu melakukan IMD (inisiasi menyusu dini)
2. Fasilitasi ibu untuk rawat gabung atau rooming in
3. Gunakan sendok dan cangkir jika bayi belum bisa menyusu
4. Dukung ibu menyusui dengan mendampingi ibu selama kegiatan menyusui berlangsung
5. Diskusikan dengan keluarga tentang ASI eksklusif
6. Siapkan kelas menyusui pada masa prenatal minimal 2 kali dan periode pascapartum minimal 4 kali","1. Jelaskan manfaat menyusui bagi ibu dan bayi
2. Jelaskan pentingnya menyusui di malam hari untuk mempertahankan dan meningkatkan produksi ASI
3. Jelaskan tanda-tanda bayi cukup ASI (Mis. berat badan meningkat, BAK lebih dari 10 kali/hari, warna urine tidak pekat)
4. Jelaskan manfaat rawat gabung (rooming in)
5. Anjurkan ibu menyusui sesegera mungkin setelah melahirkan
6. Anjurkan ibu memberikan nutrisi kepada bayi hanya dengan ASI
7. Anjurkan ibu menyusui sesering mungkin setelah lahir sesuai kebutuhan bayi
8. Anjurkan ibu menjaga produksi ASI dengan memerah, walaupun kondisi ibu atau bayi terpisah Promosi Laktasi",
D.0028,I.03138,Pemantauan Cairan,Meningkatkan cakupan ASI eksklusif dan lanjutkan sampai 2 tahun,1. Identifikasi kebutuhan laktasi bagi ibu dan bayi,"1. Fasilitasi ibu saat melakukan IMD
2. Fasilitasi ibu untuk rawat gabung atau rooming in
3. Gunakan sendok dan cangkir saat bayi belum bisa menyusu
4. Dampingi ibu selama kegiatan menyusui berlangsung, jika perlu","1. Jelaskan pentingnya menyusui sampai 2 tahun
2. Jelaskan manfaat rawat gabung rooming in
3. Anjurkan menyusui minimal 2 kali selama hamil dan setelah melahirkan 3-4 kali
4. Adakan kelas edukasi tentang manfaat dan posisi menyusui pada masa prenatal dan periode postpartum
5. Anjurkan ibu menjaga produksi ASI dengan memerah ASI
6. Anjurkan ibu untuk memeberikan nutrisi kepada bayi hanya dengan ASI eksklusif selama 6 bulan dan dianjurkan sampai 2 tahun
7. Anjurkan ibu memberi makanan pendamping ASI setelah 6 bulan
8. Anjurkan ibu menyusui sesering mungkin segera setelah lahir sesuai kebutuhan bayi",
D.0028,I.12393,Edukasi Menyusui Tindakan,,,,,
D.0028,I.12393,Edukasi Menyusui Tindakan,,"1. Identifikasi kesiapan dan kemampuan menerima informasi
2. Identifikasi tujuan atau keinginan menyusui Terapeutik :
1. Sediakan materi dan media pendidikan kesehatan
2. Jadwalkan pendidikan kesehatan sesuai kesepakatan
3. Berikan kesempatan untuk bertanya
4. Dukung ibu meningkatkan kepercayaan diri dalam menyusui
5. Libatkan sistem pendukung : suami, keluarga, tenaga kesehatan dan masyarakat Edukasi :
1. Berikan konseling menyusui
2. Jelaskan manfaat menyusui bagi ibu dan bayi
3. Ajarkan 4 posisi menyusui dan perlekatan dengan benar
4. Ajarkan perawatan payudara postpartum (mis. memerah ASI, pijat payudara, pijat oksitosin)",,,
D.0028,I.03093,Konseling Laktasi,,"1. Identifikasi keadaan emosional ibu saat akan dilakukan konseling menyusui
2. Identifikasi keinginan dan tujuan menyusui
3. Identifikasi permasalahan yang ibu alami selama proses menyusui Terapeutik :
1. Gunakan teknik mendengar aktif (mis. duduk sama tinggi, dengarkan permasalahan ibu)
2. Berikan pujian terhadap perilaku ibu yang benar Edukasi :
1. Ajarkan teknik menyusui yang tepat dan sesuai kebutuhan ibu Pendampingan Proses Menyusui",,,
D.0028,I.03130,Konseling Laktasi,,"1. Monitor kemampuan ibu menyusui
2. Monitor kemampuan bayi menyusu","1. Damping ibu selama kegiatan menyusui berlangsung
2. Dukung ibu meningkatkan kepercayaan diri untuk menyusui dengan menggunakan boneka saat membantu ibu memposisikan bayinya
3. Berikan ibu pujian, informasi dan saran terhadap perilaku positif dalam menyusui
4. Diskusikan masalah selama menyusui (mis. nyeri, bengkak payudara, lecet pada putting dan mencari solusinya) Edukasi :
1. Ajarkan ibu mengenali tanda- tanda bayi siap menyusu (mis. bayi mencari putting, keluar saliva, memasukan jari ke dalam mulutnya dan bayi menangis)
2. Ajarkan ibu mengeluarkan ASI untuk diolesi pada putting sebelum dan sesudah menyusui, agar kelenturan putting tetap terjaga
3. Ajarkan ibu mengarahkan mulut bayi dari arah bawah kearah putting ibu
4. Ajarkan posisi menyusui (mis. cross cradle, cradle, foot ball dan posisi berbaring yang diikuti dengan perlekatan yang benar
5. Ajarkan perlekatan yang benar : perut ibu dan bayi berhadapan, tangan-kaki bayi satu garis lurus, mulut bayi terbuka lebar dan dagu bayi menempel pada payudara ibu untuk menghindari lecet pada putting bayudara
6. Ajarkan memerah ASI dengan posisi jari jam 12-6 dan jam 9- 3
7. Informasikan ibu untuk menyusui pada saat payudara sampai bayi melepas sendiri putting ibu
8. Informasikan ibu untuk selalu mengosongkan payudara pada payudara yang belum disusui dengan memerah ASI",,
D.0028,I.12397,Edukasi Nutrisi Bayi,,"1. Identifikasi kesiapan dan kemampuan ibu atau pengasuh menerima informasi
2. Identifikasi kemampuan ibu atau pengasuh menyediakan nutrisi","1. Sediakan materi dan media pendidikan kesehatan
2. Jadwalkan pendidikan kesehatan sesuai kesepakatan
3. Berikan kesempatan kepada ibu atau pengasuh untuk bertanya","1. Jelaskan tanda-tanda awal rasa lapar (mis. bayi gelisah, membuka mulut dan menggeleng-gelengkan kepala, menjulur-julur lidah, mengisap jari atau tangan)
2. Anjurkan menghindari pemberian pemanis buatan
3. Ajarkan perilaku hidup bersih dan sehat (PHBS) (mis. cuci tangan sebelum dan sesudah makan, cuci tangan dengan sabun setelah ke toilet)
4. Ajarkan cara memilih makanan sesuai dengan usia bayi
5. Ajarkan cara mengatur frekuensi makan sesuai usia bayi
6. Anjurkan tetap memberikan ASI saat bayi sakit",
D.0030,I.03097,Edukasi Nutrisi Bayi,Mengidentifikasi dan mengelola berat badan agar dalam rentang optimal,"1. Identifikasi kondisi kesehatan pasien yang dapat mempengaruhi berat badan Terapeutik
1. Hitung berat badan ideal pasien
2. Hitung presentase lemak dan otot pasien
3. Fasilitasi menentukan target berat badan yang realistis",,"1. Jelaskan hubungan antara asupan makanan, aktivitas fisik, penambahan berat badan dan penurunan berat badan
2. Jelaskan faktor resiko berat badan lebih dan berat badan kurang
3. Anjurkan mencatat berat badan setiap minggu, jika perlu
4. Anjurkan untuk melakukan pencatatan asupan makan, aktivitas fisik dan perubahan berat badan Edukasi Berat Badan Efektif",
D.0030,I.12365,Edukasi Nutrisi Bayi,Memberikan informasi tentang berat dan presentase lemak tubuh yang optimal Tindakan Observasi 1. Identifikasi kesiapan dan kemampuan menerima informasi,,"1. Sediakan materi dan media edukasi
2. Jadwalkan pendidikan kesehatan sesuai kesepakatan
3. Beri kesempatan pada keluarga untuk bertanya","1. Jelaskan hubungan asupan makanan, latihan, peningkatan dan penurunan berat badan
2. Jelaskan kondisi medis yang dapat mempengaruhi berat badan
3. Jelaskan risiko kondisi kegemukan (overweight) dan kurus (underweight)
4. Jelaskan kebiasaan, tradisi, dan budaya, serta faktor genetik yang mempengaruhi berat badan
5. Ajarkan cara mengelola berat badan secara efektif",
D.0031,I.12369,Edukasi Diet Definisi,,"1. Mengidentifikasi kemampuan pasien dan keluarga menerima informasi
2. Mengidentifikasi tingkat pengetahuan saat ini
3. Mengidentifikasi kebiasaan pola makan saat ini dan masa lalu
4. Mengidentifikasi persepsi pasien dan keluarga tentang diet yang diprogramkan
5. Mengidentifikasi keterbatasan finansial untuk menyediakan makanan","1. Mempersiapkan materi,media dan alat peraga
2. Menjadwalkan waktu yang tepat umtuk memberikan pendidikan kesehatan
3. Memberikan kesempatan pasien dan keluarga bertanya
4. Menyediakan rencana makan tertulis,jika perlu","1. Menjelaskan tujuan kepatuhan diet terhadap kesehatan
2. Menginformasikan makanan yang diperbolehkan dan dilarang
3. Menginformasikan kemungkinan interaksi obat dan makanan, jika perlu
4. Menganjurkan mempertahankan posisi semi fowler (30 – 45 derajat) 20-30 menit setelah makan
5. Menganjurkan mengganti bahan makanan sesuai dengan diet yang diprogramkan
6. Menganjurkan melakukan olahraga sesuai toleransi
7. Mengajarkan cara membaca label dan memilih makanan yang sesuai program
8. Merekomendasikan resep makanan yang sesuai dengan diet, jika perlu","1. Merujuk ke ahli gizi dan sertaakan keluarga, jika perlu"
D.0031,I.03094,Konseling Nutrisi,Memberikan bimbingan dalam melakukan modifikasi asupan nutrisi.,"1. Mengidentifikasi kebiasaan makan dan perilaku makan yang akan diubah
2. Mengidentifikasi kemajuan modifikasi diet secara reguler
3. Memonitor intake dan output cairan, nilai hemoglobin, tekanan darah, kenaikan berat badan, dan kebiasaan membeli makanan. Trapeutik
1. Membina hubungan trapeutik
2. Menyepakati lama waktu pemberian konseling
3. Menetapkan tujuan jangka pendek dan jangka panjang yang realistis
4. Menggunakan standar nutrisi sesuai program diet dalam mengevaluasi kecukupan asupan makanan
5. Mempertimbangkan faktor-faktor yang mempengaruhi pemenuhan kebutuhan gizi ( mis. Usia, tahap pertumbuhan dan perkembangan, penyakit ) Edukasi
1. Menginformasikan perlunya modifikaasi diet ( mis. Penurunan atau penambahan berat badan, pembatasan natrium atau cairan, pengurangan kolestrol )
2. Menjelaskan program gizi dan persepsi pasien terhadap diet yang diprogramkan Kolaborasi
1. Rujuk pada ahli gizi, jika perlu",,,
D.0032,I.03119,Manajemen Nutrisi,"Mengidentifikasi dan mengelola asupan nutrisi Tindakan Observasi 1. Identifikasi status nutrisi 2. Identifikasi alergi dan intoleransi makanan 3. Identifikasi kebutuhan kalori dan nutrien 4. Monitor asupan makanan 5. Monitor berat badan Terapeutik 1. Lakukan oral hygiene sebelum makan, jika perlu 2. Berikan makanan tinggi serat untuk mencegah konstipasi 3. Berikan makanan tinggi kalori dan tinggi protein Edukasi 1. Anjurkan posisi duduk, jika mampu 2. Ajarkan diet yang diprogram",,,,"1. Kolaborasi dengan ahli gizi, untuk menentukan jumlah kalori dan jeni nutrien yang dibutuhkan, jika perlu"
D.0033,I.12369,Edukasi Diet,"Mengajarkan jumlah, jenis dan jadwal asupan makanan yang diprogramkan Tindakan Observasi 1. Identifikasi kemampuan pasien dan keluarga menerima informasi 2. Identifikasi tingkat pengetahuan saat ini 3. Identifikasi kebiasaan pola makan saat ini dan masa lalu 4. Identifikasi persepsi pasien dan keluarga tentang diet yang diprogramkan 5. Identifikasi keterbatasan finansial untuk meyediakan makanan",,"1. Persiapkan materi, media dan alat peraga
2. Jadwalkan waktu yang tepat untuk memberikan pendidikan kesenan
3. Berikan kesempatan pasien dan keluarga bertanya
4. Sediakan rencana makan tertulis , jika perlu","1. Jelaskan tujuan kepatuhan diet terhadap kesehatan
2. Informasikan makanan yang diperbolehkan dan dilarang
3. Informasikan kemungkinan interaksi obat dan makanan, jika perlu
4. Anjurkan mempertahankan posisi semi Fowler (30-45 derajat) 20-30 menit setelah makan
5. Anjurkan mengganti bahan makanan sesuai dengan diet yang diprogramkan
6. Anjurkan melakukan olahraga sesuai toleransi
7. Ajarkan cara membaca label dan memilih makanan yang sesuai
8. Ajarkan cara merencanakan makanan yang sesuai
9. Rekomendasikan resep makanan yang sesuai dengan diet, jika perlu","8. Rujuk ke ahli gizi dan sertakan keluarga, jika perlu Pengontrolan Infeksi"
D.0033,I.14551,Edukasi Diet,Mengendalikan penyebaran infeksi dan perburukan komplikasi akibat infeksi,1. Identifikasi pasienpasien yang mengalami penyakit infeksi menular.,"1. Terapkan kewaspadaan universal (mis. cuci tangan aseptik, gunakan alat pelindung diri seperti masker, sarung tangan, pelindung wajah, pelindung mata, apron, sepatu bot sesuai model transmisi mikroorganisme)
2. Tempatkan pada ruang isolasi bertekanan positif untuk pasien yang mengalami penurunan imunitas
3. Tempatkan pada ruang isolasi bertekanan negatif untuk pasien dengan resiko penyebaran infeksi via droplet atau udara
4. Sterilisasi dan desinfeksi alat-alat, furnitur, lantai, sesuai kebutuhan
5. Gunakan hepafilter pada area khusus (mis. kamar operasi)
6. Berikan tanda khusus untuk pasien-pasien dengan penyakit menular","1. Ajarkan cara mencuci tangan dengan benar
2. Ajarkan etika batuk dan/atau bersin",
D.0034,I.03116,Edukasi Diet,"Manajemen hipovolemia adalah intervensi yang dilakukan oleh perawat untuk mengidentifikasi dan mengelola penurunan volume cairan intravaskuler. Tindakan Observasi 1. Periksa tanda dan gejala hipovolemia (mis: frekuensi nadi meningkat, nadi teraba lemah, tekanan darah menurun, tekanan nadi menyempit, turgor kulit menurun, membran mukosa kering, volume urin menurun, hematokrit meningkat, haus, lemah) 2. Monitor intake dan output cairan",,"1. Hitung kebutuhan cairan
2. Berikan posisi modified Trendelenburg
3. Berikan asupan cairan oral","1. Anjurkan memperbanyak asupan cairan oral
2. Anjurkan menghindari perubahan posisi mendadak","1. Kolaborasi pemberian cairan IV isotonis (mis. NaCl, RL)
2. Kolaborasi pemberian cairan IV hipotonis (mis. Glukosa 2,5%, NaCl 0,4%)
3. Kolaborasi pemberian cairan koloid (albumin, plasmanate)
4. Kolaborasi pemberian produk darah"
D.0035,I.03132,1. Perawatan Neonatus,Mengidentifikasi dan merawat bayi setelah lahir sampai usia 28 hari,"1. Identifikasi kondisi awal bayi setelah lahir (mis. Kecukupan bulan,air ketuban jernih atau bercampur mekonium,menangis spontan,tonus otot)
2. Monitor tanda vital bayi (terutama suhu) Terapeutik
1. Lakukan inisiasi menyusui dini (IMD) segera setelah bayi lahir
2. Berikan vitamin K 1 mg intramuskuler untuk mencegah pendarahan
3. Mandikan selama 5-10 menit, minimal sehari sekali
4. Mandikan dengan air hangat (36-37°c)
5. Gunakan sabun yang mengandung provitamin B5
6. Oleskan beby oil untuk mempertahankan kelembaban kulit
7. Rawat tali pusat secara terbuka (tidak dibungkus)
8. Bersihkan tali pusat dengan air steril atau air matang
9. Kenakan pakaian dari bahan katun
10. Selimut untuk mempertahankan kehangatan dan mencegah hipotermia
11. Ganti popok segera jika basah",,"1. Anjurkan tidak membubuhi apapun pada tali pusat
2. Ajarkan ibu menyusui bayi setiap 2 jam
3. Anjuran menyendawakan bayi setelah disusui
4. Anjurkan ibu mencuci tangan sebelum menyentuh bayi",
