Kode SDKI,Nama SDKI,Kategori,Subkategori,Definisi,Penyebab,Gejala Mayor - Subjektif,Gejala Mayor - Objektif,Gejala Minor - Subjektif,Gejala Minor - Objektif,Kondisi Klinis Terkait
D.0032,Resiko Defisit Nutrisi,Fisiologis,Nutrisi dan,"Beresiko mengalami aupan nutrisi tidak cukup untuk memenuhi kebutuhan metabolisme Faktor Risiko 1. Ketidakmampuan menelan makanan 2. Ketidakmampuan mencerna makanan 3. Ketidakmampuan mengbsorbsi nutrien 4. Peningkatan kebutuhan metbolisme 5. Faktor ekonomi (mis. finansial tiak mencukupi) 6. Faktor psikologis (mis. stress, keengganan untuk makan)",,,,,,"1. Stroke
2. Parkinson
3. Mobius syndrome
4. Cerebral palsy
5. Cleft lip
6. Cleft palate
7. Amyotropic lateral sclerosis
8. Kerusakan neuromuskular
9. Luka bakar
10. Kanker
11. Infeksi
12. AIDS
13. Penyakit Crohn’s
14. Enterokolitis
15. Fibrosis kistik"
D.0033,Risiko disfungsi motilitas gastrointestinal,Fisiologis,,"Risiko peningkatan, penurunan atau tidak efektifnya aktivitas peristaltik pada sistem gastrointestinal. Faktor Risiko 1. Pembedahan abdomen 2. Penurunan sirkulasi gastrointestinal 3. Intoleransi makanan 4. Refluks gastrointestinal 5. Hiperglikemia 6. Imobilitas 7. Proses penuaan 8. Infeksi gastrointestinal 9. Efek agen farmokologis (mis, antibiotik, laksatif, narkotika/opiat) 10. Prematuritas 11. Kecemasan 12. Stres 13. Kurangnya sanitasi pada persiapan makanan",,,,,,"1. Pembedahan abdomen atau usus
2. Malnutrisi
3. Anemia
4. Kecemasan
5. Kanker empedu
6. Kolesistektomi
7. Infeksi pencernaan 8. Gastroesophageal Reflux Disease (GERD)
9. Dialisis peritoneal
10. Terapi radiasi
11. Multiple organ dysfunction syndrome"
D.0034,Risiko Hipovolemia,Fisiologis Subkategori : Nutrisi dan Cairan,,"Berisiko mengalami penurunan volume cairan intravaskuler, interstisiel, dan/atau intraseluler. Faktor Risiko 1. Kehilangan cairan secara aktif 2. Gangguan absorbsi cairan 3. Usia lanjut 4. Kelebihan berat badan 5. Status hipermetabolik 6. Kegagalan mekanisme regulasi 7. Evaporasi 8. Kekurangan intake cairan 9. Efek agen farmakologis",,,,,,"1. Penyakit Addison
2. Trauma/pendarahan
3. Luka bakar
4. AIDS
5. Penyakit Crohn
6. Muntah
7. Diare
8. Kolitis ulseratif"
D.0035,Risiko Ikterik Neonatus,Fisiologis Subkategori : Nutrisi dan Cairan,,"Beresiko mengalami kulit dan membran mukosa neonatus menguning setelah 24 jam kelahiran akibat bilirubin tak terkonjugasi masuk ke dalam sirkulasi Faktor Risiko 1. Penurunan berat badan abnormal > 7-8% pada bayi baru lahir yang menyusu ASI, > 15% pada bayi cukup bulan 2. Pola makan tidak ditetapkan dengan baik 3. Kesulitan transisi ke kehidupan ekstra uterin 4. Usia kurang dari 7 hari 5. Keterlambatan pengeluaran feses (mekonium) 6. Prematuritas (<37 minggu)",,,,,,"1. Neonatus
2. Bayi prematur"
D.0035,Risiko Ketidakseimbangan Cairan,Fisiologi,Nutrisi/Cairan,"Berisiko mengalami penurunan,peningkatan atau percepatan perpindahan cairan dari intravaskuler,interstisial atau intraselular Faktor Risiko 1. Prosedur pembedahan mayor 2. Trauma/perdarahan 3. Luka bakar 4. Aferesis 5. Asites 6. Obstruksi intestinal 7. Peradangan pankreas 8. Penyakit ginjal dan kelenjar 9. Disfungsi intestinal",,,,,,"1. Prosedur pembedahan mayor
2. Penyakit ginjal dan kelenjar
3. Perdarahan
4. Luka bakar Resiko Ketidakseimbangan"
D.0037,Resiko Ketidakseimbangan Elektrolit,Fisiologis,Nutrisi dan,Beresiko mengalami perubahan kadar serum elektrolit Faktor Resiko 1. Ketidakseimbangan cairan (mis. dehidrasi dan intoksikasi air) 2. Kelebihan volume cairan 3. Gangguan mekanisme regulasi (mis. diabetes) 4. Efek samping prosedur (mis. pembedahan) 5. Diare 6. Muntah 7. Disfungsi ginjal 8. Disfungsi regulasi endokrin,,,,,,"1. Gagal ginjal
2. Anoreksia nervosa
3. Diabetes melitus
4. Penyakit Chron
5. Gastrointeritis
6. Pankreatiti
7. Cedera kepala
8. Kanker
9. Trauma multipel
10. Luka bakar
11. Anemia sel sabit Resiko Keidakstabilan Glukosa"
D.0038,Resiko Keidakstabilan Glukosa Darah,Fisiologis,Nutrisi dan,,,,,,,"1.Diabetes 2.Ketoasidosis diabetic 3.Hipoglikemia 4.Diabetes gestasional 5.Penggunaan kortikosteroid 6.Nutrisi parenteral total (TPN) Nutrisi/Cairan mengalami darah ke yang dapat seluler . volume Respons sistemik inflamatory syndrome [SIRS])
1. Perdarahan
2. Trauma Multipel
3. Pneumothoraks
4. Infark miokard
5. Kardiomiopati
6. Cedera Medula spinalis
7. Anafilaksis
8. Sepsis
9. Koagulasi intravaskuler diseminata
10. Sindrom Respons inflamasi sistemik (Systemic inflamatory response syndrome [SIRS]) Keterangan Diagnosis ini ditegakkan pada kondisi gawat darurat yang dapat mengancam jiwa dan intervensi diarahkan untuk penyelamatan jiwa. Gangguan Eliminasi Urin"
D.0038,Gangguan Eliminasi Urin,Fisiologis,Eliminasi Definisi : Disfungsi,,,,"1. Distensi kandung kemih
2. Berkemih tidak tuntas (hesitancy)
3. Volume residu urin meningkat",(tidak tersedia),(tidak tersedia),"1. Infeksi ginjal dan saluran kemih
2. Hiperglikemi
3. Trauma
4. Kanker
5. Cedera/tumor/infeksi medulla spinalis
6. Neuropati diabetikum
7. Neuropati alkoholik
8. Stroke
9. Parkinson
10. Skeloris multipel Obat alpha adrenergic"
D.0041,Obat alpha adrenergic Inkontinensia Fekal,Fisiologis Sub kategori : Eliminasi Definisi :,,,"1. Kerusakan susunan saraf motorik bawah
2. Penurunan tonus otot
3. Gangguan kognitif
4. Penyalahgunaan laksatif
5. Kehilangan fungsi pengendalian sfingter rectum
6. Pascaoperasi pullthrough dan penutupan kolosomi
7. Ketidakmampuan mencapai kamar kecil
8. Diare kronis
9. Stress berlebihan","1. Tidak mampu mengontrol pengeluaran feses
2. Tidak mampu menunda defekasi",1. Feses keluar sedikit- sedikit dan sering,(tidak tersedia),"1. Bau feses
2. Kulit perianal kemerahan","1. Spina bifida
2. Atresia ani
3. Penyakit Hirschsprung Inkontinensia Urin Berlanjut"
D.0041,Inkontinensia Urin Berlanjut,Fisiologis,Eliminasi Definisi,,"1. Neuropati arkus refleks
2. Disfungsi neurologis
3. Kerusakan refleks kontraksi detrusor
4. Trauma
5. Kerusakan medula spinalis
6. Kelainan anatomis (mis.fistula)","1. Keluar urin konstan tanpa distensi
2. Nokturia lebih dari 2 kali sepanjang tidur",-,,-,"1. Cedera kepala
2. Trauma
3. Tumor
4. Infeksi medula spinalis
5. Fistula saluran kemih Inkontinensia Urin Berlebih."
D.0041,Inkontinensia Urin Berlebih.,Fisilogis,Eliminasi,Kehilangan urin yang tidak terkendali akibat overdistensi kandung kemih.,"1. Blok spingter
2. Kerusakan atau ketidakadekuatan jalur aferen
3. Obstruksi jalan keluar urin (mis.impaksi fekal, efek agen farmakologis)
4. Ketidakadekuatan detrusor (mis.pada kondisi stres atau tidak nyaman, deconditioned voiding)",,"1. Kandungan kemih distensi (bukan berhubungan dengan penyebab reversible akut) atau kandung kemih distensi dengan sering, sedikit berkemih atau dribbling.",,1. Residu urin 100ml atau lebih,"1. Asma
2. Alergi
3. Penyakit neurologi: cedera/tumor/infeksi medulla spinalis
4. Cedera kepala
5. Sklerosis Multipel
6. Dimielinisasi saraf
7. Neuropati diabetikum
8. Neuropati alcohol
9. Striktura uretra/leher kandung kemih
10. Pembesaran prostat
11. Pembengkakan perineal. Inkontinensia Urin Fungsional"
D.0041,Inkontinensia Urin Fungsional,Fisiologis,Eliminasi,Pengeluaran urin tidak terkendali karena kesulitan dan tidak mampu mencapai toilet pada waktu yang tepat.,"1. Ketidakmampuan atau penurunan mengenali tanda-tanda berkemih
2. Penurunan tonus kandung kemih 3. Hambatan mobilisasi
4. Faktor psikologis: penurunan perhatian pada tanda-tanda keinginan berkemih (depresi, bingung, delirium)
5. Hambatan lingkungan (toilet jauh, tempat tidur terlalu tinggi, lingkungan baru)
6. Kehilangan sensorik dan motorik (pada geriatri)
7. Gangguan penglihatan",1. Mengompol sebelum mencapai atau selama usaha mencapai toilet,(tidak tersedia),"1. Mengompol di waktu pagi hari
2. Mampu mengosongkan kandung kemih lengkap Objektif (tidak tersedia)",,"1. Cedera kepala
2. Neuropati alkoholik
3. Penyakit Parkinson
4. Penyakit dimielinisasi
5. Sklerosis multipel
6. Stroke
7. Demensia progresif
8. Depresi Inkontinensia Urin Refleks"
D.0041,Inkontinensia Urin Refleks,Fisiologis,Eliminasi,Pengeluaran urin yang tidak terkendali pada saat volume kandung kemih tertentu tercapai.,"1. Kerusakan konduksi impuls di atas arkus refleks
2. Kerusakan jaringan (mis. terapi radiasi)","1. Tidak mengalami sensasi berkemih
2. Dribbling
3. Sering buang air kecil
4. Hesitancy
5. Nokturia
6. Enuresis",1. Volume residu urin meningkat,(Tidak tersedia),(Tidak tersedia),"1. Cedera/tumor/infeksi medula spinalis
2. Cystitis
3. Pembedahan pelvis
4. Sklerosis multipel
5. Kanker kandun kemih atau pelvis
6. Penyakit Parkinson
7. Demensia"
D.0046,Inkontinensia Urin Sters,Fisiologis,Eliminasi,Kebocoran urin mendadak dan tidak dapat dikendalikan karena aktivitas yang meningkatkan tekanan intraabdominal.,"1. Kelemahan intrinsik spinkter uretra
2. Perubahan degenerasi/non degenerasi otot pelvis
3. Kekurangan estrogen
4. Peningkatan tekanan intraabdomen
5. Kelemahan otot pelvis","Mengeluh keluar urin <50ml saat tekanan abdominal meningkat (mis. saat berdiri, bersin, tertawa, berlari atau mengangkat benda berat)",(tidak ada),"1. Pengeluaran urin ridak tuntas
2. Urgensi miksi
3. Frekuensi berkemih meningkat",1. Overdistensi abdomen,"1. Obesitas
2. Kehamilan/melahirkan
3. Monopose
4. Infeksi saluran kemih
5. Operasi abdomen
6. Operasi prostat
7. Penyakit alzheimer
8. Cedera medula spinalis Inkontinensia Urine Urgensi"
D.0046,Inkontinensia Urine Urgensi,Fisiologis,Eliminasi,Keluarnya urin tidak terkendali sesaat setelah keinginan yang kuat untuk berkemih (Kebelet),"1. Iritasi reseptor kontraksi kandung kemih.
2. Penurunan kapasitas kandung kemih.
3. Hiperaktivitas detrusor dengan kerusakan kontraktilitas kandung kemih.
4. Efek agen farmakologis (mis. Deuretik)",1. keinginan berkemih yang kuat disertai dengan inkontinensia.,(tidak tersedia),(tidak tersedia),(tidak tersedia),"1. Riwayat penyakit peradangan pelvis dan/atau vagina.
2. Riwayat penggunaan kateter urin.
3. Infeksi kandung kemih dan/atau uretra.
4. Gangguan neurogenic/tumor/infeksi.
5. Penyakit Parkinson.
6. Neuropati diabetikum.
7. Operasi abdomen. Kesiapan Peningkatan Eliminasi"
D.0048,Kesiapan Peningkatan Eliminasi Urin,Fisiologis,Eliminasi,Pola fungsi sistem perkemihan yang cukup untuk memenuhi kebutuhan eliminasi yang dapat ditingkatkan.,,1. Mengungkapkan keinginan untuk meningkatkan eliminasi urin,"1. Jumlah urin normal
2. Karakteristik urin normal","(Tidak Tersedia) Objektif
1. Asupan cairan cukup",,"1. Cedera medula spinalis
2. Sklerosis multipel
3. Kehamilan
4. Trauma pelvis
5. Pembedahan abdomen
6. Penyakit prostat"
D.0049,KONSTIPASI,Fisiologi,Eliminasi,"Penurunan defekasi normal yang disertai pengeluaran feses sulit dan tidak tuntas serta feses kering dan banyak Penyebab fisiologis : 1. Penurunan mobilitas gastrointestinal 2. Ketidakadekuatan Pertumbuhan gigi 3. Ketidak cukupan diet 4. Ketidakcukupan asupan serat 5. Ketidakcukupan asupan cairan 6. Aganglionik (mis. penyakit Hirscprung) 1. Konfusi 2. Depresi 3. Gangguan emosional 1. Perubahan kebiasaan makan (mis. jenis makanan, jadwal makan) 2. Ketidakadekuatan toileting 3. Aktivitas fisik harian kurang dari yang dianjurkan 4. Penyalahgunaan laksatif 5. Efek agen farmakologis 6. Ketidak teraturan kebiasaan defekasi 7. Kebiasaan menahan dorongan defekasi 8. Perubahan lingkungan",,,,,,"1. Lesi/cedera pada medula spinalis
2. Spina bifida
3. Stroke
4. Sklerosis multipel
5. Penyakit parkinson
6. Demensia
7. Hiperparatiroidisme
8. Hipoparatiroidisme
9. Ketidakseimbangan elektrolit
10. Hemoroid
11. Obesitas
12. Pasca operasi obstruksi bowel
13. Kehamilan
14. Pembesaran prostat
15. Abses rektal
16. Fisura anorektal
17. Striktura anorektal
18. Prolaps rektal
19. Ulkus rektal
20. Rektokel
21. Tumor
22. Penyakit hirscprung
23. Impaksi feses"
D.0050,Retensi Urine,Fisiologis,Eliminasi,Pengosongan kandung kemih yang tidak lengkap,"1. Peningkatan tekanan uretra
2. Kerusakan arkus refleks
3. Blok spingter
4. Disfungsi neurologis (mis. trauma, penyakit saraf)
5. Efek agen farmakologis (mis. atropine, belladonna, psikotropik, antihistamin, opiate) Gejala danTandaMayor
Sensasi penuh pada kandung kemih
1. Disuria / anuria
2. Distensi kandung kemih GejaladanTandaMinor
1. Dribbling
3. Inkontinensia berlebih
4. Residu urine 150 ml atau lebih KondisiKlinisTerkait
1. Benigna prostat hiperplasia
2. Pembengkakan perineal
3. Cedera medula spinalis
4. Rektokel
5. Tumor disaluran kemih Risiko Inkontinensia Urine",,,,,
D.0051,Risiko Inkontinensia Urine Urgensi,Fisiologis,Eliminasi,"Berisiko mengalami pengeluaran urin yang tidak terkendali Faktor Risiko 1. Efek samping obat, kopi dan alkohol 2. Hiperrefleks destrussor 3. Gangguan sistem saraf pusat 4. Kerusakan kontraksi kandung kemih: relaksasi spingter tidak terkendali 5. Ketidakefektifan kebiasaan berkemih 6. Kapasitas kandung kemih kecil",,,,,,"1. Infeksi/tumor/batu saluran kemih dan/atau ginjal
2. Gangguan sistem saraf pusat"
D.0052,Risiko Konstipasi,Fisiologi Sub kategori : Eliminasi Definisi :,,,,,,,,
